사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Oct-25,2호선,218,종합운동장,22,2,1553,1592,6144,16556,15872,20577,20725,31638,14878,14376,11636,12527,11474,12458,14222,19290,13857,21771,14031,16188,16594,18767,25824,29191,34734,53221,22142,59370,13724,22424,16660,11570,51533,10614,35187,9732,3368,5240,432,1369,4,106,0,0,0,0
Oct-25,2호선,219,삼성(무역센터),145,3,5157,6614,7354,48620,13785,126607,19950,277526,19840,219991,24455,106690,36057,78875,47223,71501,60184,75548,74181,67028,94907,60431,127082,58397,206437,63145,251177,55874,135957,31837,109675,18604,88411,14934,54967,10956,14007,5665,1746,3861,2,864,0,0,0,0
Oct-25,2호선,220,선릉,157,11,4634,5606,11051,42220,21426,112966,34236,254084,35067,191666,39257,92067,49137,62635,58817,60711,64401,68079,74788,53828,97283,50346,124073,50330,197972,54723,258062,55159,128026,35806,85247,23957,74983,20649,61743,18301,21703,10398,3307,3792,4,86,0,0,0,0
Oct-25,2호선,221,역삼,23,0,3257,6535,8284,38840,15017,137105,24497,316394,23653,269035,25661,108560,33833,60633,39375,54825,46276,59707,55840,46170,73821,40772,99135,41913,205357,50394,235634,55279,133717,33842,75470,22114,68814,18958,47644,16132,16765,9908,2979,2802,2,32,0,0,0,0
Oct-25,2호선,222,강남,139,10,7672,11081,16862,50331,36997,138933,57108,288840,51148,298754,54590,145425,70293,99439,84725,97991,98312,110988,109295,101004,134283,99141,159227,106939,240166,134938,291433,164377,199865,96735,153074,57025,163203,46753,144125,38896,64428,21110,10205,5500,1,47,0,0,0,0
Oct-25,2호선,223,교대(법원.검찰청),19,1,2403,5830,10037,25996,23335,51023,32790,139944,27769,116996,26015,63270,30658,53557,32657,49113,40225,54559,46961,47659,50788,45511,55907,46896,88771,59663,118332,63369,55366,37131,46723,24534,44275,21516,33333,20371,13124,10894,2510,2923,1,25,0,0,0,0
Oct-25,2호선,224,서초,5,0,1818,5017,10052,22463,18249,48573,27352,104669,26186,80349,20348,39266,29002,31861,26147,25232,33045,26213,34123,25438,42764,21825,48449,23110,70839,25148,83471,25425,37301,19079,28371,12064,28348,10983,15116,10234,5020,5257,812,1187,0,2,0,0,0,0
Oct-25,2호선,225,방배,8,1,2388,3244,8363,12060,20342,26481,27790,68463,24708,53116,19186,28917,21338,25649,22757,26651,26846,24857,29174,24656,33636,23594,39899,24419,48114,31101,55700,33325,26973,22829,21119,15760,21105,14491,16048,14219,5934,7973,1147,2198,0,5,0,0,0,0
Oct-25,2호선,226,사당,90,4,12669,3754,29235,34767,73763,46965,95379,67663,72662,52066,51038,44805,48675,56416,54084,57198,58421,55166,62632,55511,64778,66945,67474,88340,79819,125819,94302,164730,69259,110175,66148,72367,69108,65599,61757,61024,34806,36418,5633,9992,5,613,0,1,0,0
Oct-25,2호선,227,낙성대(강감찬),65,2,11649,2335,25622,9321,76738,18131,114697,38489,76082,34040,45209,27994,38214,25528,42265,28431,41234,31130,36977,32599,39209,38616,41035,45863,45888,61149,49996,92919,28881,78473,23061,52834,20520,51035,15101,49205,7683,30411,1365,7915,1,155,0,0,0,0
